Gene,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000118263,97.5325,80.9716,90.22,111.9768,130.37643302,174.26895,77.50773303000001,55.376466279999995,80.00893292,32.10454977,138.65279922000002,183.187,199.85658277,191.84866615
ENSG00000144401,1.08,4.37415,0.6923,4.4719999999999995,0,4.5507,0,6.6815,4.3776,4.4436,2.7522,1.182,2.7783,1.014
ENSG00000181378,0,0,2.1495,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000163501,0,2.7476,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187736,5.14995,0,4.769,0,0,2.3275,8.226750000000001,1.4348,2.96125,0,0,0.7205,2.52615,2.9698
ENSG00000138413,6.416099999999999,6.0203999999999995,13.8831,8.622,7.317,7.79535,5.4368,5.0123999999999995,8.8812,0,7.2775,13.4685,3.5062,6.312899999999999
ENSG00000144445,62.09875,36.93525,78.4096,22.5425,40.95419958,31.833,33.3945,14.55155,51.2606,7.728700000000001,23.28785,35.01705,39.7306,29.0029
ENSG00000198925,21.21025,11.57015,15.041,21.309199999999997,4.864599999999999,31.251099999999997,35.9141,14.10045,15.5104,19.28745,11.7585,13.2561,18.8904,16.5099
ENSG00000163521,3.6378,0.9889,0,0.4725,1.6176,5.49,0.5228999999999999,2.5667999999999997,0,0,0.9676,0.8772,3.1518,0.8602000000000001
ENSG00000127824,0,0,0,0,1.5478500000000002,0,1.89,0,0,0,0,0,0,0
ENSG00000054356,0,0,0,0,0,0,0,1.0644,0,0,0,0,0,0
ENSG00000163596,0,0,1.596,0,0,2.0208,2.31,0,0,0,4.8806,1.024,2.1420000000000003,2.80476
ENSG00000138442,10.689,7.05915,1.37175,2.735,6.813,1.854,1.4607,7.243600000000001,10.2413,0,1.6103999999999998,2.217,0,5.5165
ENSG00000173166,82.00410000000001,37.3236,53.5004,37.5552,77.31186618000001,77.8316,45.714,28.522,40.0288,52.038500000000006,29.1708,36.4176,51.7979,66.35199999999999
ENSG00000115290,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000082438,0,3.4425000000000003,8.68595,0,1.2404,0,1.2272,1.287,5.5208,0,2.24,0.9884,6.643599999999999,6.6612
ENSG00000115365,5.3784,0,4.4434,1.052,0.948,3.2423999999999995,0,0,2.7552000000000003,0,1.3518,1.8733,5.576,1.0692
ENSG00000178568,0,0,1.4385,0,0,0,0,0,0,0,0,0,0,0
ENSG00000030419,0,0,0,2.8672,0,0,0,0,0,3.6176,0,1.7358,1.2374999999999998,0
ENSG00000138376,6.9299,6.7265,12.6957,9.14485,3.9102,5.3504000000000005,4.68,1.9971,7.5955,0,6.264500000000001,2.3814,5.7816,2.4583
ENSG00000240344,15.7336,1.8792,0,1.3463999999999998,3.1994,0,5.3214500000000005,3.1066,5.8552,0,2.9596,0,6.1823999999999995,0.9232
ENSG00000115942,10.5515,2.9024,13.6512,0,1.1104,0,12.4974,7.94535,3.0465,3.7908,5.1988,4.5211,0,1.1865
ENSG00000155744,29.0988,48.25919999999999,29.8344,28.09905,14.19146653,31.832,17.992,62.29883378,18.848170000000003,28.112599999999997,52.7488,17.55045,45.6955,25.871519999999997
ENSG00000155749,1.8675,2.00445,0,1.881,0.6966,0,0,3.0115,0,0.14400000000000002,2.0273,0,0,0
ENSG00000115993,26.937599999999996,24.2825,22.348,19.2896,10.9488,27.09653324,16.516000000000002,13.0977,18.8064,0,28.5894,14.342899999999998,23.8134,23.745
ENSG00000119042,2.1999999999999997,2.597,1.5543,0.9083,2.1392,1.7871,1.2096,4.17,2.25,8.59982252,0,0,3.9933,12.9371
ENSG00000226124,15.875,21.92125,9.8945,21.896,18.5098,35.01225,6.924,21.2364,19.4308,21.792,31.8222,17.3508,18.9772,30.856499999999997
ENSG00000162971,52.6452,27.6435,30.8484,27.945,40.7303,49.92749954999999,59.3138,23.885399999999997,14.40945,2.9392,46.2592,71.45023386,62.31084951,55.65605
ENSG00000155729,9.6705,3.1738999999999997,3.2784,3.9134,4.746,4.7996,8.6,2.427,4.6944,16.815,2.464,0,1.384,7.4382
ENSG00000162927,0,4.4659,4.3914,0,2.6364,6.6774,4.7303999999999995,7.40140023,1.0256,6.52795,0,0,0,0.72495
ENSG00000115464,67.6913,91.3464,64.79675,126.3488331,49.06086661,89.24355,128.43599999999998,70.82955,64.46159999999999,60.237,109.8025,123.42505,85.11515,117.1975
ENSG00000082898,350.50557549,259.18,270.49691627,135.040975,138.34085000000002,263.18240052,224.5281,195.73785,298.275,107.91,127.5586,139.7883,192.0798,256.8832
ENSG00000170264,1.2771,0,1.3338,0,5.6172,0,0,1.267,1.5232,0,0,4.2164,0,0
ENSG00000115484,5.217599999999999,7.123200000000001,2.9554,1.0185,2.5165,1.1598,9.2278,1.2309,1.071,0,5.0092,2.2395,6.1613999999999995,5.0844
ENSG00000186889,0,0,1.31,0,1.9236,0,0,0.6804,0,0,0,0,0,0
ENSG00000143951,5.541925050000001,0,2.16948322,3.16365,0,3.3408,0,0,5.6507,1.6643,1.479,8.758750000000001,7.403040000000001,4.7346664
ENSG00000143952,9.85095,8.875,5.424,10.75146654,2.9330000000000003,10.2505,5.2026,7.1446666,2.9232,0.6752999999999999,3.7674,0,12.5642,7.1080000000000005
ENSG00000197329,28.0665,12.2388,6.145199999999999,39.7233,177.8028,155.1901,83.75335,9.7968,14.4256,10.4599,89.5544,106.1192,155.76665013,112.92645
ENSG00000179833,100.639,75.46,93.96345,64.9014,48.0457,39.087,32.1813,64.20645,83.58120000000001,29.106,30.66,34.030300000000004,54.1596,53.840799999999994
ENSG00000163162,22.513883210000003,30.046650000000003,18.8046,62.587500000000006,18.9399,47.07,41.5555,17.45816677,5.826,26.62893338,31.058950000000003,30.8598,18.22021657,23.751
ENSG00000175874,0,0,0,0,0,0,0.264,0,0,0,0,0,0,0.8813000000000001
ENSG00000196460,0.4661999999999999,0,0.26,0.5494,1.8042,0,6.108499999999999,0,0,13.47,0,0.891,1.0218,0
ENSG00000135953,8.4182,6.768,9.0112,5.8103,5.2922,17.1327,4.5344,10.3353,2.2754,0,8.491200000000001,13.3866,2.555,7.5824
ENSG00000135966,24.8325,18.971800000000002,34.96335,11.8384,11.1132,15.33239982,20.9208,26.6145,25.7655,0,23.001,29.8265,19.4999,20.1456
ENSG00000144119,0,0,0,0,0,0,0,0,0,0,0,0,2.7104999999999997,0
ENSG00000155438,2.8356,3.9537,2.8635,0,1.5617,2.4783,2.3426,0,2.4972,0,0.3918,3.858800000000001,8.7153,1.7012999999999998
ENSG00000136717,0,1.3266,2.86,2.7548,0,0,4.7232,2.59405029,0,4.365600000000001,2.4276,0,0.44655,3.1524
ENSG00000163161,8.8976,5.4351,9.4995,8.6616,6.7116,4.2465,21.208,10.4494,5.7343,4.990799999999999,4.329,1.281,6.8894,4.7895
ENSG00000169967,73.8116,47.4844,56.6658,64.2642,31.5813,65.88690000000001,57.52290000000001,61.898399999999995,43.9208,1.2752,69.542,66.74940000000001,46.6375,69.7751
ENSG00000178021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000115310,262.32225,167.58939999999998,192.375,133.4529,162.748,212.07796694000004,161.6277,196.16635,266.6935,121.6176,247,188.8133,295.704,321.0312
ENSG00000162994,0,0,1.6568,1.0203,0,0,0,0.8961,0,0,3.5496000000000003,1.456,0,0
ENSG00000085760,11.4366,1.0947,12.4576,2.0016,7.4875,0.9354,8.666599999999999,3.9179,6.4395999999999995,0,2.6983,5.97835,4.9352,8.840399999999999
ENSG00000115355,381.51556654,289.77009999999996,360.9734,207.77999984999997,289.60519999999997,295.14012012,242.972,289.57575015,287.38545,297.73149975,225.1713332,213.3481,314.88068347,267.42785
ENSG00000115073,5.8443,6.7635000000000005,10.7272,5.6971,1.1645,7.73955,6.2664,1.22975,0,0,2.053,11.0721,6.348800000000001,3.0121000000000002
ENSG00000075568,41.7774,45.661,38.391,36.2168,34.1638,39.44800008,34.4484,24.546,24.9907,7.2078,60.99855,27.847,34.064800000000005,10.3055
ENSG00000183513,5.633400000000001,0.727,2.204,0,0,5.27990037,2.1771,7.542,3.3074,0,1.6632,0.9229,9.1014,6.4792
ENSG00000071073,18.657,30.435,27.44516658,40.38375,12.82725,12.97866006,14.409199999999998,13.8789,11.2772,49.30425,27.6608,10.44802,29.06696,17.961299999999998
ENSG00000196872,0,0.7992,0,0,0,0,0,0,0,4.0847999999999995,0,0,0,0
ENSG00000084090,34.74,24.072,16.47149994,19.75125,15.54485,18.343,9.3366,20.7522,13.09255,3.4275,16.877699999999997,25.5696,24.48985011,27.1236
ENSG00000135956,75.50789999999999,76.09495,65.65825,53.753699999999995,76.2105,72.603,61.065,44.7552,63.53295,58.79625,79.74340000000001,44.6992,55.86525,99.0633
ENSG00000136696,0,0,0.8208,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138433,27.2916,22.3915,18.3547,11.2727,10.198,34.0547,21.485,24.7355,18.5416,41.4561,11.07575,33.5049,6.95435,31.464
ENSG00000163328,10.6368,2.6723999999999997,3.2544,3.5862,10.976,7.390199999999999,0,5.397,3.2954999999999997,1.58666648,8.3316,2.5818,1.9456,1.8894
ENSG00000115935,123.04798317,68.34613344,77.0385,65.08665,26.38245,72.21158349,71.72183314,66.86285,62.79344991,136.71775,35.0014,44.2490001,30.9826,60.23723321999999
ENSG00000138435,0,0,0,0,0,0,0,0.58,0,0,1.5594,1.1528,0,0
ENSG00000128656,0.1044,0,1.5808,0,1.5244,0,2.538,0,1.0595,0,1.472,0,0,3.9712
ENSG00000123600,43.3608,28.7451,34.003,21.114,24.0989,37.9509,11.81565,22.704,25.0782,6.2035,18.668,16.0062,19.0867,33.3494
ENSG00000115840,1.1424,3.1086,0.9955,0.6192,0,0,0.9824,4.7994,1.1025,1.9104,1.1104,4.3888,2.0863,3.5776
ENSG00000115844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000172845,89.76091684999999,54.4213332,75.97726649,67.98819972,49.368100000000005,84.8187,44.07299999999999,80.9375,64.90499985,17.2215,65.275,79.43476644,67.94931647,52.11299988
ENSG00000138430,7.8714,3.4585,9.09535,13.026,6.18715,9.53775,12.516,6.2433499999999995,11.627,0.5532,5.0274,3.3245,10.2388,19.41615
ENSG00000155657,1.3832,0,0.0351,0,0,1.595,0,0,0.9108,0,0,0,0,1.3351000000000002
ENSG00000163492,0,0,0,0,0,0,0,0.8952,0.8279,0,0,0,0,0
ENSG00000187231,62.84525000000001,24.3276,28.00875,19.8664,43.1728,70.5218,38.614,26.9442,45.6115,16.1514,18.9952,86.59946688000001,87.255,45.590599999999995
ENSG00000144331,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000163510,93.9375,37.7571,47.9136,18.8897,99.2527,76.37519999999999,30.5091,35.882,79.0809,13.0674,6.7712,35.991,60.691199999999995,108.936
ENSG00000115866,114.87325,105.2532,110.6802,56.4738,58.59315,81.9625,96.60646722,53.6084,97.84225047,24.0786,81.76650000000001,86.2869,118.1024,111.79519956
ENSG00000121966,24.294749999999997,11.1105,9.7916,5.838299999999999,21.8316,28.1208,28.9079,19.4436,9.1378,0.728,9.2652,18.6808,8.6938,30.320400000000003
ENSG00000168702,0,0,0,0.7026,0,0,0,0,0,0,0,0,0,0
