Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000135362,257.5,190,228,116,179,220,209,171,222,223,113,243,181,278
ENSG00000166349,16,15,27,9,17,21,36,13,27,20,6,30,7,7
ENSG00000166352,332,256.5,292,130,196.1,200,164,179,330,164.5,214,193,203,222
ENSG00000166181,9395.3333,8512.5,8874,5629.5,7922.3333,7808.5,6934.6667,7236.3333,8800.6667,3737.6667,6572.5,8779.5,8190.1667,10995.1667
ENSG00000052841,9794.5,7853,9084,5182,7977.5,8142,6798,6160,8543.5,4502.5,5303,7276,7664,10107.5
ENSG00000013725,466,359,441,437,488,549,373,475,394,797,423,697,484,556
ENSG00000110448,309,329,418.5,175,165,186,193,294,282.5,758,124,193,149,230
ENSG00000229859,9.3667,2.8667,3.7333,2.7333,5,3,2,3.3333,5.8333,15.1667,2.0667,3.3333,2.5,10.8333
ENSG00000229183,11.3667,3.2,5.4,5.0667,7,2.3333,6.5,3.5,8.1667,18.1667,6.5667,6,2.8333,1.8333
ENSG00000256713,12.5,7.5,12.6667,7.3333,4.6667,13.7667,5.5,7.7333,8.1667,12.4333,6,1.6667,3,5.3333
ENSG00000166840,7,2,2,2,7,11,4,1,10,19,0,3,9,6
ENSG00000255151,24,10,10,12,22,56,30,8,11,5,0,39.5,28,60
ENSG00000189057,75,56,70,33,93,135,76,40,56,5,65,125,136,179
ENSG00000166801,10976,8979,9234.1667,5164.5,7900,8419,7467,7559.8,9148,4523.3333,6578,8784,8957,11126.5
ENSG00000110042,620,512,532,354,464,621,515,462,468,705,325,544,571,590
ENSG00000162148,138,147,99,67,97,85,69,87,116,247,64,67,100,103
