Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000175054,6956,5850,6128,3798,4849.5,4486,4028,5241,6136,2108,4561,4919.6667,4328.8333,5524
ENSG00000163710,430,372,437,344,485,488,278,370,344,231,297,522,405,332
ENSG00000181804,20784,18710.5,19585,13414,18086.5,18113,14028,15197.5,17513,9855,13909.5,16623,16110,19174
ENSG00000145390,5774,3989.5,4782,2905.5,4341,3588.5,2297,3791,5034.5,1583,3800,4089.5,3846,4036.5
ENSG00000173320,106,71,114,72,72,100,81,62,83,101,33,50,58,86
ENSG00000164306,566,452,423,284.5,398,358,363,417,502,293,362,525.5,338,494
ENSG00000170891,68,52,59,23,25,27,31,43,49,31,29,43,48,49
ENSG00000173040,293,263,385.6667,218,181,245,226,195,236.5,429,134,189,169,219.75
ENSG00000072832,54,40,72,25,44,44,16,26,51,77,16,29,23,43
ENSG00000181215,12,14,9,9,16,15.5,31,6,9,24,5,29,10,19
ENSG00000152969,7,10,16,8,12,20.5,25,9,12,14,7,29,15,19
ENSG00000129128,6315,6164,5208,4469.5,5898.5,5599.8333,4617.3333,7315,6610,4230,6495,9445,7049,8655
ENSG00000109674,264,198,257.5,57,246.5,183,208,84,203,44,76,100,170.5,218
ENSG00000218336,1,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000151718,2984.8333,2966.6667,3018,1998.6667,2552.3333,2771.1667,2019.3333,2202.8333,2866.5,1963,2119,2751,2335,2851
ENSG00000168564,3048.5,2656,2244,1377,1714,1995,1527,2528,2305,992,1505,2027,1563,1981
ENSG00000284684,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000074211,0,0,0,0,0,2,0,0,0,2.3333,0,0,0,0
ENSG00000178988,3209,2956,3012,1710,1805,2591,2153.5,2376,2950,1793,1477,2746,2178,3013
ENSG00000173013,101,103,106,47,17,49,61,80,73,160,39,35,20,76
ENSG00000109519,3232,2900,2687,1919,2103,2214,1840,2509,2687,1727,2172,2458,2044,2740
ENSG00000196526,1179,1104.6667,1312,877,886,993,810,769,1127,1239,668,879,781,1026
ENSG00000164074,2242,1898.1667,1881.3333,1199,1706,1567.5,1372,1846.5,2153,3583.1,1446,1910,1511,1986
ENSG00000138709,945,676.5,797.5,499,704,727,541,573.3,905.5,492,523,669.5,673,942.3333
ENSG00000163104,2728,2217,2257,1470,1837,1783,1296,1989,2365,825,1943,2078,1813,2223
ENSG00000163110,12902.5,9653,11530,6342,11275.5,10950,10263.5,7785,11143.5,5994.7857,7271.5,8985,10656,13989.5
ENSG00000138696,1,1,0,3,2,0,0.25,0,1,0,0,0,0,3
ENSG00000172007,909,614,660,337,622,550,461,619,838,372.2143,431,612,600,781
ENSG00000085871,724,487,550,346,496,438,415,394,611,249,298,472,549,731
ENSG00000153130,1291,1404,1092,948,1138,1040,924,1844,1201,295,1384,1982,1279,1428
ENSG00000179387,1546,1436.5,1539,992,1421,1296,1083,1653,1792,430,1366,1630,1541,1887
ENSG00000109445,2474,2333,2638,1906,2085,1968,1954,2364.5,2273,1824,2002,2830,1779,2654
ENSG00000170390,19,14,18,18,6.5,14,7,5,13,30,18,12,12,11
ENSG00000181541,68,80,143,110,81,110,79,110,94,147,110,90,89,106
ENSG00000145425,7393.75,8316.8333,6583.25,7149.9444,7774.5333,8027.9167,5201.5,9125.9167,5568,5279.75,8477.5833,10334.5,7305.5,9179.1429
ENSG00000164142,126,117,157,28,67,62,96,75,154,51,38,57,60.5,92
ENSG00000018189,27976,25294,26582.5,16623.5,21158,21712,18974,21954.5,26502.5,21836,19612.3333,25145,22534.5,29146.5
ENSG00000173542,11496.25,10718,11046,6774,9129,7998.5,7068,10237.5,12383,4534,8302,10055.5,9280,11566.5
ENSG00000132406,1864.1667,1597,1452,1176.5,1382,1264,1046.6667,1514.5,1395.6667,816.5,1106,1612.5,1336,1569.5
ENSG00000145220,1076,851,999,430,773,840,665,614,1006,670,679,870,918,1242
ENSG00000168818,2727,2353,2582,1537.5,1933.5,2225,1764.5,1752,2371,2244,1389.6667,1901,2008.5,2564
ENSG00000123933,1404,1292,1410.5,875.5,955,1701.5,1164,1136,1092,2428,728,1299,1273.5,1712.5
ENSG00000159733,323,346.5,368,253,260,282,208,268.5,297,868,261,286,206,279
ENSG00000168884,10169,9602,10713.5,9239,8366,12239,9111.5,7896.5,8226.5,19350,7220.5,11791.5,8698.5,11722.3333
ENSG00000109736,2006,2304,2400,1815,1438,2769,2040,2107.5,1609,4765,1640,2266,1810,2635
ENSG00000087269,4842,3968.5,4500,2620.5,3441,4208,3507.5,3050.5,4571.5,4883.5,2648,3810,3700,4906.5
ENSG00000289761,58,44,39,59,62,31,53,48,42,34,65,41,50,83
ENSG00000188848,5,4,2,0,3,5,10,3,7,3,0,5,10,11
ENSG00000124406,814,697.5,807,497,720,604,532,642,693,287,613,582,533.5,701
ENSG00000177752,110,117,118,118,106,115,68,143,129,218,82,146,83,144
ENSG00000163281,978.5,772,892,384,882,848,901,763,953,151,526,867,964,1342
ENSG00000169019,462,554,580.5,517.5,428.5,370,398,822.5,451,155,621,852,485,542
ENSG00000185774,101,62,68,43,35,37,40,53,60,18,60,39,51,64
ENSG00000152990,76,53,71,42,41,50,62,54,49,38.3333,37,44,54,79
ENSG00000157426,1369,1305,1388,792,969,1001,765.5,1035,1307.5,349.5,886.5,1008,955,1218
ENSG00000128059,645.5,581.5,540,327,326,387.5,329,467,595.5,201,418,411,386.5,509
ENSG00000171476,4,11,4,7,5,12,7,8,7,10,0,25,14,13
ENSG00000084092,2044,1757.5,1757.5,1047.5,1361,1493,1270,1183,1571,2209,937,942,1205,1523
ENSG00000109163,85,90,57,35,34,30,39,68,70,10,73,71,35,49
ENSG00000153802,7,6,30,6,10,4,1,12,18,0,8,13,4,0
ENSG00000187054,1,3,6,0,0,0,0,2,3,0,3,0,1,4
ENSG00000121210,3454.5,3174,3528,2177,2979.5,2940,2528,2392,3254.5,2139,2245,2622.6667,2768.5,3370.5
ENSG00000137462,48257.1667,46410.5,47677.5,34200.8333,44381.5,40233,29705.1667,43085.1667,38970.3333,29085.7333,41060.6667,45693.8333,35661,42131.8333
ENSG00000171564,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000121207,0,1.5,0,0,0,3,0,0,0,7,0,0,0,0.1
ENSG00000151962,0,5,6,0,5,0,0,1,1,0,0,0,0,0
ENSG00000173597,19.7667,9.7262,13.5,11,9.5,7.6429,7,7,9.0333,8,0,5,11,26.2
ENSG00000109511,38,19,19,11,11,15,24,17,26,0,1,29,5,11
ENSG00000129116,2855.5,2493,2745,1798,2845,3271,2658,2076,2657,2414,1696.5,3146.5,3237,3879
ENSG00000109572,6821,6253,6744.5,3924,4979,4939,4121,5152,6711,2697,4773,5592.5,4913.5,6118.6667
ENSG00000174473,1,0,0,4,3,8,2,1,5,0,0,2,0,1
ENSG00000138772,319.6667,214,302,146,261,271,218,162,297,138,182,200,263,356
ENSG00000138756,48738.2667,41031.8333,45409,25963.8333,39648.6667,41287.1667,37047.3333,31159,41712.3,16614.3333,29967.6333,34567.8333,38163.1667,51405.7
ENSG00000152784,339,367,410,423.5,626,1008,928,306,320,789,297.5,700,837,1134
ENSG00000138675,14,1,13,1,8,6,6,0,2,1.5,8,0,6,7
ENSG00000197826,0,0,0,0,3,0,0,2,0,0,0,0,1,0
ENSG00000182903,1079.25,913,848.8,413,609.3333,627.5,549,745.5,919,496,491,426,613,796.75
ENSG00000273238,0,0,0.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000169020,1107,768,869,426,822,912,574,580,939,940,455,730,821,977
ENSG00000169026,594,803,819,761,537.5,904,667,736,604.5,2091,770,1076,542,778
ENSG00000168993,2,3,0,5,0,1,2,6,4,10,0,0,0,2
ENSG00000168556,595,361,561,161,368,431,332,294.5,459,159,172,282,389,514
ENSG00000168538,10326.5,8325.8333,9228.5,4696,7283.3333,7202,6312.5,6528.5,8895,4353,6031,6187,7037.5,9084.5
ENSG00000214367,1446,1371,1260,701,1147,1257,1174,1349.5,1399.5,926,784,1325,1484,1879.5
ENSG00000159692,8976.95,9416.2333,9063.9214,7704.625,5708.2262,9173.6179,6559.0833,7926.475,7215.2222,15736.2262,6400.2917,8711.8429,6181.4167,8247.6944
ENSG00000235608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174137,33,48.5,33,32,23,27,5,44.3333,30.5,129,35,28,16,17
ENSG00000163950,2692,2475,2646,1870,2162.5,2128,1818,2010.5,2586.5,1897,1932,2546,2041,2870
ENSG00000168936,971,1493,1177,1117,647,1186,840,1272,1055,3404.5,824,1216,782,1022
ENSG00000137441,0,0,0,1,0,8,0,0,0,0,0,0,1,0
ENSG00000007062,0.375,1.1111,0,0,1,0,3.3333,0,0,0,0,5.3333,3,0
ENSG00000169762,1446,1371,1445,956,1364,1242.5,1096,1438.5,1352.3333,941,1127,1567,1327,1683
ENSG00000169744,0,3,6,3,0,9,0,2.2,1,8.8373,4,1,1.45,0.125
ENSG00000151552,816,806,758,651,555,681,623,818,682,1125,664,840,532,794
ENSG00000129071,5861,4893,5417.5,2248,3198.5,3106,2447,3593.5,4562.5,2242,2600.5,2961,2868,3535.5
ENSG00000004399,260406.9167,248881.5,287885.8333,196829.5,179951.3333,267512.5,239031,177163,230516.8333,468569.6667,140845,185821,191614.5,261082
ENSG00000172765,7239,6633,7874.25,4237,5319.5,5347.6667,5185.3333,4361.6667,7470.5,5585.5,4614,4859,4913.5,6694.6667
ENSG00000196455,3629,3034.5,3281,2023,2837.5,2932,2303,2407,3231.5,1494,2327,2377,2583,3383
ENSG00000034533,932,714,734,352,616,746,563,589,713,369,441,568,645,874
ENSG00000163956,11720,10309.5,11312,7883,7892.5,11254.3333,8273,7755.5,8301.25,14981.8333,6159.5,9524.7,7594,10105
ENSG00000145244,103,72,95,65,72,76,45,87,88,72.5,27,43,70,74
ENSG00000170448,815,779.5,685,416,412.5,413,462.6667,612.5,673,455,483,417,351,563.5
ENSG00000198515,2,3,2,5,0,3,7,1,1,0,4,1,7,0
ENSG00000178950,18712.8333,18689.3333,19880.5,15546.5,14853.5,20995,17056.1667,14834.1,15297.6667,36138.75,11481.5,18074.9167,14758.8333,20908.3333
ENSG00000145214,1188,1272,1175,1030.5,650,1078,879,1124.5,863,3402.5,706.5,1120,641.5,912
ENSG00000145217,410,457,434,288,145,311,339,448,399,1457,174,335,228,296
ENSG00000178222,18,16,7,23,2,18,30,9,20,1,25,8,29,15
ENSG00000159674,74,129,143.5,95,61,141,145,121,107,279,48,114,83,119
ENSG00000109819,8,3,7,10,3,1,5,8,4,4,0,0,5,6
ENSG00000109606,8282.6667,7512,8197,5795,7962.5,7932,6329,7358,7609.5,4270,6352.5,8999,7759,9601.5
ENSG00000181982,882,642,707,453,740,808,501,452,608,603,451,854,730,702
ENSG00000153012,608.5,519,677,337.5,650,570,376,407,613,347,336,477,525.5,580
ENSG00000109618,3377,3249,3027,2515,2733.8333,2496,1813,3568.6667,2724,1482,3062,3339,2313.5,3063
ENSG00000047662,1370,1318,1191,712,921,984.5,877,1532,1411,573,978,1288,1041.5,1424
ENSG00000163257,4583,3372.5,3509,1901,3490,3347,3406,3190,4058,4273.8333,2517,3428,3938,4928.5
ENSG00000178177,5305,4565.5,5085,2360,3405,3062,2437,3532.3333,5500,1559,3024,2817,3476,4196.5
ENSG00000118785,151109.5,110279.5,133794.5,65537.5,109381.4333,117531.5,93060.5,71032.5,117446.5,59852.5,65362,90245,102363,116750.8333
ENSG00000118762,5807.5,5847.5,5743.5,4569.5,4491,5118,4006.5,5659.5,4981.5,5405,4697,5428.3333,4303,5468.5
ENSG00000138642,14964.5,12723.5,12726.5,8547,11026.1667,11876.5,11104.5,11104,11092,8060,9292,11042,10446,14147
ENSG00000138646,12547,10873,10352,7032,9822,11517,10721,10332.5,9686,6162.5,7836,10616.5,10754.5,15351
ENSG00000287542,5581,5258,5484,4191.5,4816,4872.5,3648.5,4664.5,4839,3283,4577.6667,5148,4184.5,5014.5
ENSG00000163069,589,483,538,338,523,471,402,397,438,187,377,518,503,620.6667
ENSG00000109189,924,954,969,598,722,606,572,1009,857,536,908,852,614,837
ENSG00000226887,0,0,1,0,0,5,4,0,1,8,6,13,0,1
ENSG00000184178,1621,1404,1495,953,1139,1387,1100,976,1271,1280,865,917,1075,1429
ENSG00000072201,400,275,338,140,325,269,239,256,402,158,248,318,325,414
ENSG00000132465,3,5,12,3,12,16,3,6,6,0,13,13,10,10
ENSG00000132463,7365,7585,7146,5887,5922,6383,5146,8365,6695,5428.8333,6345.5,8718,5613.3333,7426
ENSG00000083896,10147.5,8599.8333,10472.5,5668,8169,8775,7475,6658.5,9237,6071.5,6529.5,8784,7878.5,10769
ENSG00000213759,1,0,0,0,3,0,0,1,0,0,0,0,0,0
ENSG00000157869,649,562,578.6667,413.3333,525,601,452,557.8333,526,265,489,517.5,523.6667,600.6667
ENSG00000163995,9,15,17,9,7,2,5,2,4,11,4,12,4,5
ENSG00000087008,1817,2042.5,1911,1678,1542,1785.5,1495,1818,1472,2465.125,1277,1714.5,1211,1625
ENSG00000138678,524,390,511,269,419,387,268,313,410,210,281,364,418,404
ENSG00000163624,63,84,85,58,51,63,56,54,60,90,74,24,44,31
ENSG00000138639,1846,1230.5,1597,884,1089,1231,908,905.5,1404,1010,796,1047,1047,1353
ENSG00000163629,65,62,68,41,41,69,22,34,68.5,1,28,55,52,56
ENSG00000172493,39418.5,31169.5,37456.5,19897.5,29077,35546,37219,23140.1667,35944.1667,23985,22096.1667,24346,34211.1667,52080
ENSG00000164136,3624,2504,2799,2197.5,4338,4566,4097,3128,2972,2402.1,2854,4929,4815,6196.5
ENSG00000170185,4939,5057,4825.5,3660,3818,4552,4158,4202,4819,3528,3629.5,4216.5,4081,5799
ENSG00000109458,1436,1280.5,1669,911,1123,1196,1003.5,976,1543.5,1322,895,1157,1195.5,1470
ENSG00000153147,21602,18068.5,20625,11769,19223,23880.5,20616,13635,21550,8888.5,13455.5,20120.5,23155,30576
ENSG00000164161,18,17,16,14,8,18,10,18,15,2,31.5,14,19.3333,16
ENSG00000168924,4402,4610,4880.5,3562,3167,4443,3323,3803.5,3731.5,8328.5,2935,4089,3162.5,4192.5
ENSG00000185049,2690.5,2475.5,2857,1811,1554.5,2126,1928,1690,2348,5278.8333,1190,1595,1676.5,2543.5
ENSG00000130997,171,212,200,122,100.2222,140,80,154,179,173,122,142,122,130.5
ENSG00000290263,1152,1198,1135,579,864,989,916,988,1148,541,584,1005.5,1101,1351
ENSG00000174125,46922.5,41022,44131,20903,29444.5,24918,20951.5,32698,45670.5,14376.7,25519.8333,26080.5,26005,30863.5
ENSG00000174130,9067.5,7346,8691.5,3532.5,4359,3432,2964,5841,8217,4366.3667,4393.5,3767,3574.5,4548
ENSG00000121895,21,13,37,4,19,13,11,22,32,2,12,12,13,28
ENSG00000035928,3679.3333,3011.5,3529.5,1673,2289,2358.5,1903,2269,3359,1714.2857,2082,2172,2240,3317
ENSG00000163682,6474.8333,7578.3333,6070.3333,7604.1667,6684.3333,6831.1667,4627.1667,9184.8167,5027.8333,4971.9,8964.0833,12531.9,6377.1167,8377.75
ENSG00000109339,191,187,189,85,132,169,88,131,199,148,139,150,118,205
ENSG00000145283,7,4,0,9,0,1,2,6,4,0,9,8,2,1
ENSG00000163633,62,35,54,14,21,56,44,28,51.3333,29,25,38,49,93
ENSG00000285458,152,88,78,48,64,89,86,72.125,120.5,90,65,136,109,197.5
ENSG00000145332,2497.6667,2151,2369.6667,1509,1710,1549.5,1274,1906.3333,2274.1667,1008,1801,1861,1533,1694.3333
ENSG00000170509,21,13,19,1,3,3,2,10,18,13,0,4,9,4
ENSG00000198189,4350,3716,3568,2698,3724,3407,2618,3907.5,3505,1025,3653,4563,3989,4242.5
ENSG00000272856,3,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000152583,14,25,49,10,18,1,10,16,17,0,5,8,6,11
ENSG00000118777,31,42,26,33,56,24,26,31,26,43,16,50,25,38
ENSG00000174808,62,29,33,17,18,33,23,44,40,25,39,23,19,26
ENSG00000109705,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000038219,21431,16736.5,20900.5,9367.5,15533.5,17470,14181,11699.5,19503,12061,10411,15036,16644,21897
ENSG00000118564,8694,7681.6667,7852.8333,5044,8375.6667,7826,6889.5,6728.6667,8193.3333,2308,6099.5,7957.1667,8245.5,10185.5
ENSG00000109220,4223,3731,3947,2968,3372.5,3374.4167,2987,3939,4731,3746,3382,4151,3933.75,5248.5833
ENSG00000128052,2,1,3,0,4,6,0,0,0,0,0,3,3,0
ENSG00000134852,9776.5,6932,8254.5,3967,7447,7073,5886,6097.5,8661.5,2790,5130.1667,6648,8029,9530.5
ENSG00000109255,0,0,4,0,0,0,0,0,0,17,0,0,0,0
ENSG00000074966,433,365.5,358,221,250,228,208,314.2,375,304,324,310,199,289
ENSG00000135605,1214,1052,1151,634,657,769,669,696.5,1207,430,572,578,785,980
ENSG00000075539,11101.5,9446.3333,10721.6667,7001,9547.5,9013.5,7292.3333,7903.5,9499.3333,4438,8071.5,9245.5,8839.5,10293
ENSG00000145247,40,35,19,33,42,49,24,39,48,28.75,13,58,34,52
ENSG00000188993,0,1,2,1,10,0,2,1,2,0,15,8,5,0
ENSG00000163453,2422,2348,2376,1917,1246,1960.5,1872,1459.5,1861,3339,1306,1376.5,1545,2288
ENSG00000145241,4573,3417,4173,2212.5,3469.3333,3406,2512,2792.5,3784.8333,3181.5,2984,3365.5,3247,4079
ENSG00000163743,1421,1305,1390,832,1161,1082,945,1510,1629,401,1159,1429,1378,1488
ENSG00000138769,0,2,0,0,0,4,0,1,1,0,0,0,2,0
ENSG00000138757,21950.8333,18482.8333,21436,13459.5,19433,19767.1667,17481.6667,15864.5,21095,10873.5,15977.5,20238.5,20349.5,24108.8333
ENSG00000156194,0,2,4,1,0,0,4,3,0,0,0,2,1,0
ENSG00000145331,294,214,230,157,172,200,123,201,293,125,168,224.5,171,212
ENSG00000138744,1117,856,895,661,637,817,706,869,748,832,510,815,602,911
ENSG00000198301,4036,2978,3638,1840.6667,2793,2889,2557.5,2451,3659,1771,2143,2623,3087,3674
ENSG00000138755,22329.5,13679,14251.5,6629,8673.5,7577.5,8590,10097,16740.5,3635,8038,6354,8238.5,13051
ENSG00000169245,22988,17009.3333,13612,9538.5,7061,5845,6487,16189,14399.5,5798.5,10956,5574,6187,10561
ENSG00000169248,13706,10521,8227,5654,4141,3646,3689,10920,10445,1838,7186.3333,4221,3616,6809.5
ENSG00000145335,877,753,759,493,649,735,501,690,796,579,530.5,792,672.5,789
ENSG00000163106,42,36,41,31,41,51,44,26,48,14,31,30,24,33
ENSG00000182168,211,232,234,153,193,213,184,166,193,183,168,175,159,256
ENSG00000163116,55,33,34,13,25,32,35,32,56,10,33,33,32,42
ENSG00000168785,26,21,39,19,31,24,24,17,29,0,11,28,17,25
ENSG00000151247,3400,2946.5,2956.5,2052,2860,2856.5,2170.5,2646,3412.5,1296.5,2612.6667,3656,3033.5,3780
ENSG00000197894,4631.5,4390.5,4193,3182,3851,3856,2891,4311.5,3637,2038,3471.5,4934.5,3534.5,4407
ENSG00000198099,5,2,5,0,1,2,0,2,0,0,0,0,7,0
ENSG00000172955,0,0,0,0,0,0,0,1,2,0,0,0,0,1
ENSG00000187758,0,0,4,0,0,0,0,1,2,0,0,0,0,2
ENSG00000164038,4237.5,3814,3897.1667,2974.6667,3844,3890,2918,3481.1667,3481,2180,3205.5,4222,3469.1667,4218
ENSG00000164039,1179,1036,1104,741,901,996,773,930,832,496,710,1052,854.5,1017.5
ENSG00000138778,1173.5,797,875,360,694,627,434,543,919,365,431,656,600,623
ENSG00000168772,0,0,0,0,0,0.1429,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000156140,19,9,19,10,12,20,15,22,22,12,23,13,23,37
ENSG00000163626,1620,1341.1667,1353,806,1205.5,1101,859,1343,1393.5,2606,786,1330.5,1098,1446
ENSG00000132466,31700.8333,25388.5,31208.6667,15819.8333,23940.5,25556.8333,22191,17310.1667,26728.5,16625,16366,19330.1667,22301.5,28892.8333
ENSG00000169435,5,2,7,0,6,2,7,2,4,24,5,5,3,5
ENSG00000163737,3,0,2,0,0,0,4,0,1,0,0,1,0,0
ENSG00000123739,675,584,582,354.5,409,530,467,490,654,331,408,526,489,685
ENSG00000285330,119,96,67,62,96,81,55,95,121,34,62,99,70,115
ENSG00000205403,0,0,2,0,1,5,7,3,4,10,0,0,1,0
ENSG00000170522,46,25,28,20,19,28,3,19.1111,39,11,11,17,29,31
ENSG00000164093,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ENSG00000109756,47265,36247,41935.5,33418.5,88515.5,100653.5,80244.1667,30544,35985.5,23171.5,35161,80018.5,86563,108098
ENSG00000138785,2387,1850,1966.5,1001,1868,1952,1672,1236,1986.5,723,1294,1490,1984.5,2464
ENSG00000145348,3340,2788,3368.8333,1804.5,2720.5,2451,2201.5,2200.5,3275,1412.5,1862,2140.5,2436,3112
ENSG00000250298,2,0,0,0,3,8,0,0,2,0,0,0,1,3
ENSG00000155011,76,59,54,42,41,62,41,48,60,34,56,28,55,74
ENSG00000170006,146,132,156,97,146,130,101,130,128,158,105,173,146,166
ENSG00000169989,4,3,4,3,4,5,1,3,3,0,0,0,4,4
ENSG00000145428,912,563,1043,307,631,440,425,436,704,370,291,257,397,469
ENSG00000145423,0,3,3,5,4,8,0,0,0,5,0,1,1,8
ENSG00000197410,1,0,2,0,0,2,0,0,3,19,0,7,2,0
ENSG00000151612,126,90.3333,69.7,79.75,107,104,120,49.3333,66.1667,76,39.2,92,107,137
ENSG00000120519,1460,1342.5,1468,767,1275,995,874,1117,1511,499,1012,1155.5,1138,1457
ENSG00000164169,2672.5,2381,2406,1042,1892,1816,1552,1706,2424,687,1379,1722,1795,2366
ENSG00000151623,307,285,351,160,248,197,195,218,307,203,176,160,226,238
ENSG00000171566,3094,2627,2647,2032,2528,2600,2067,2470,2432.5,1250,1892,2970,2354,2999
ENSG00000164114,57,37,58,9,43,21,34,37,43,30,30,31,41,61
ENSG00000181826,6805.8333,5069.5,5627,3983.5,5879.5,6699.5,5504.5,4309,6444.5,5420.3333,4724.5,7136.5,7258.5,9635.1667
ENSG00000174123,99,44,75,12,31,31,55,39,78,37,29,45,32,54
ENSG00000145365,3488.5,3414,3510,2964,3036.5,2871,1860,3322.5,3286,1726,3680,3942,2903,3062
ENSG00000178403,2,0,0,0,0,0,0,0,0,0,0,0,0,5
ENSG00000138658,898,735,879.5,606,769.5,725,547,646.5,905,262,710,710,753,915
ENSG00000145349,918,827,918,611,737.5,770,542,764,826,728,798,794,684,711
ENSG00000180801,5,1,0,0,0,1,4,1,0,9,0,0,0,0
ENSG00000138801,8976,7809.75,8593.3333,6063.5,7668,8324,5886.5,6257.5,7392.25,3618.5,5735,8628.5,7574.5,8710.5
ENSG00000138795,117,77,92,37,124,124,92,52,44,73,29,109,82,147
ENSG00000188517,0,2,7,1,1,0,0,3,0,0,0,0,0,1
ENSG00000138794,273,275,240,221,230,215,168,293,247,235,273,392,165,229
ENSG00000145391,8415,6927.1667,8073.8333,4181.1667,5242,5063.5,4431,6048.8333,7857.5,4836,4581,5120,5086,5499.5
ENSG00000196782,586,400,525,237,327,448,400,298,416,337,195,304,398,518
ENSG00000153132,64,58,58,29,42,61,31,35,53,13,57,58,52,121
ENSG00000109424,2,2,0,0,4,0,0,0,1,0,0,6,1,4
ENSG00000138777,734,820.5,607,651.5,724,672,429,875.5,645.5,423,698,1099,630.5,802
ENSG00000129187,4727,4516,4201,3222,3695,3909,3145,4093.5,3893,2892,3199,4379,3495,4636
ENSG00000109775,1122,886,851,512,845,777,656,718,920,314,594,807,765,952
ENSG00000168491,0,0,0,0,5,0,0,1,0,7,0,0,1,0
ENSG00000154553,0,0.6667,0,0,0,0,0,0,0,0.2,0,0,0,0
ENSG00000154556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168412,0,0,0,0.2,0,0,0,0,0,1.5893,0,0,0,0
ENSG00000083857,0,4,11,1,4,3,10,6,1,16,0,1,7,2
ENSG00000153404,4,5,10,0,1,0,0,8,13,23,4,5,0,1
ENSG00000164123,144,123,203,71,232,142,178,117,210,45,101,171,162,215
ENSG00000145414,2787,2408,2559,1982.5,2205.5,2444.5,2202,2190,2604.5,1954,2312,2812,2496,3153
ENSG00000164128,4,0,0,0,0,0,1,1,0,8,0,0,0,7
ENSG00000151005,49,42,112.3333,47,27,26,30,43,31,90,46,20,21,23
ENSG00000138767,8997.8667,8180.1333,8212.0667,5615.1,7205,6883.3333,5966.1667,7581,8115.3333,2649.1667,7136.8333,7940,7325.3333,8888.6667
ENSG00000163291,21804.5,19168.5,20694,12241.5,18421,17831,16048.5,17080,20925,6484,16271,18171,18182,24738
ENSG00000156269,0,0,1,1,0,0,0,0,0,0,0,0,0,1
ENSG00000033178,9898,9421,9516,6558,9216,8849.5,7546.5,8999,9093.5,2966,8552,9797.5,9083,11634
ENSG00000138758,34954.5,28119,32128.5,19013.5,33586.5,34947.5,28995,22660,30310.5,15953,21017,31972.5,35086,43579.5
ENSG00000138764,10324,10659.6667,10765.5,7760,8947,9893,8387.5,10649,9969,8030.3333,8562,11423.5,9803,12009.6667
ENSG00000156234,248457,193231.5,202868,112094.5,191888,175839.5,183955,141510,255221,51320,146572.5,177649,218625.3333,308986
ENSG00000169288,522,522,498,305,294,365,268,386,482,175,435,388,439,461
ENSG00000138759,62,59,49,38,33,30,41,46,30,52,15,42,49,37
ENSG00000288796,8,5,4,8,5,7,11,6,12,11,13,14,12,15
ENSG00000163736,4,9,6,12,17,23,17,11,19,11,13,24,28,20
ENSG00000163735,4239,3859,5248,3786,7773,8125,6056,3232,4736,2170,3591,8778,8528,8750.5
ENSG00000163734,2281,3954,15357,28781.5,20584,19232.5,11293.5,1944.5,4272.5,12528,27546.5,30440.5,18645,19115.8333
ENSG00000081041,1702,3158,11286.5,22143.5,10305.5,11859,8208,1617,3191.5,13551.5,21838,15728,10024.5,13225.8333
ENSG00000109667,414,345,422,290,334,353,240,285,319,341,302,312,234,311.5
ENSG00000071127,51303.8333,42920.5,49314.6667,37672.5,43331.5,53957,43601,33199,40677.5,48128,32626,45920,42739,54348.3333
ENSG00000178163,3723,3328,3533,1660,3053.5,2960,2717,2559,3506,1146,2082.5,2752,2956,3941
ENSG00000109684,0,0,3,0,1,0,0,0,1,0.75,0,0,0,2
ENSG00000002587,955,838,1159,675,935,1313,994,612,727,995,516,876,916,1201
ENSG00000164106,134,129,76,35,36,45,64,132,118,152,28,80,93,107
ENSG00000285713,196,139,146,118.5,176,123,129,158,151,52,145,279,156.5,134
ENSG00000164162,961,831,908,617.5,828,770.5,578,756,894,219,894.5,970,761.5,803
ENSG00000164164,15948.5,13199,15162.5,8689,12057.5,12177,11119,11251,14842.5,8371,9493.5,11486.5,11917,16080
ENSG00000138750,2829,2590,2423,1852,2655.5,2567,2020,2276,2419.25,754.375,2365.6429,3018.5,2681,3393.5
