Gene,Symbol_donor1_rep1,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,Symbol_donor1_rep2,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000185252,ZNF74,5.62,1.0793,0.06749999999999999,2.4768,0,0,1.1592,ZNF74,0,0,1.2464000000000002,1.6317000000000002,2.7056,4.8546000000000005,0
ENSG00000099917,MED15,144.02836651,137.78495999999998,170.81913315999998,106.54589988,91.15145013,139.22920000000002,134.165625,MED15,43.84805326000001,86.1945,92.9306666,79.42916650000001,35.486500050000004,102.13425,90.66213324
ENSG00000099937,SERPIND1,0,0,0,0,0,0,NA,SERPIND1,0,NA,NA,0,NA,0,0
ENSG00000099940,SNAP29,26.4396,23.9123,26.754,14.76747,17.8035,36.9712,22.444799999999997,SNAP29,9.549,17.747999999999998,30.0021,26.94065,31.086,28.8169,31.1298
ENSG00000160255,ITGB2,196.0917,206.0510001,207.65924991,154.1022,123.36165,204.29976658,230.802,ITGB2,132.76845,127.49293326,92.17933336,153.7632,116.955,130.3435,135.577
ENSG00000186866,POFUT2,0,17.653,15.2076,18.637500000000003,2.5852,20.1356,12.6381,POFUT2,11.3475,8.0925,0,6.08585,15.0345,6.9658,13.9872
ENSG00000173638,SLC19A1,0,0,0,5.8794,0,0.8330000000000001,0,SLC19A1,0,0,0,0.188,0,0,0
ENSG00000099977,DDT,4.78515,6.2387500000000005,6.76115,5.014,16.086199999999998,4.84575,5.736000000000001,DDT,8.188,2.397,12.4544,2.464,18.1701,14.07657477,4.46165
ENSG00000131100,ATP6V1E1,17.091250000000002,13.818,22.22325,14.958,11.37105,13.757,20.7081,ATP6V1E1,3.8216,12.03615,12.3885,6.33605,9.5088,27.565,5.259449999999999
ENSG00000015475,BID,17.644000000000002,22.5984,16.4542,32.7037,9.1552,20.16395,16.023,BID,16.25176,17.958299999999998,8.07146662,20.781,10.6704,11.6468,8.9778
