Gene,ENSG,logFC,logCPM,F,PValue,FDR
SPECC1L-ADORA2A,ENSG00000258555,1.7562502259644808,7.6253793024750705,20.706706222142316,3.764071167576408e-4,0.1053316299537854
AP4S1,ENSG00000100478,-3.9666614716862156,5.406317453222768,20.08890599618637,3.9600337055618477e-4,0.1053316299537854
PIM1,ENSG00000137193,1.865239569611525,7.810969264733521,20.396363914228747,4.0303235550441925e-4,0.1053316299537854
ELK1,ENSG00000126767,2.545620772281939,6.099258113717929,19.416725797535985,5.046562887625112e-4,0.12639537298964396
CDC42EP4,ENSG00000179604,1.9572752829156774,6.658239096328057,18.88776466323518,5.679574830994163e-4,0.13655969723642364
ADM,ENSG00000148926,1.424519344328895,10.2711137119685,18.19573670458308,6.670022991552063e-4,0.1542058007777671
SDC4,ENSG00000124145,1.6208959844901074,7.832103399256998,17.943144296269647,7.08448359404373e-4,0.1577215958659143
IL1RN,ENSG00000136689,1.5632113844236233,8.072944802409275,17.729314144122654,7.456883184172408e-4,0.16008330292878695
OASL,ENSG00000135114,2.124367492026416,6.552227365745163,17.41298535944082,8.065032667906932e-4,0.16716865988547783
NKX3-1,ENSG00000167034,1.8882611249361014,6.778263108512439,17.137520942036907,8.618139804790129e-4,0.17130673291935464
PLEKHG2,ENSG00000090924,1.6284430792759983,7.361490089672992,17.033704801697997,8.834651007319903e-4,0.17130673291935464
HIVEP3,ENSG00000127124,1.8044583661931608,7.020819484699784,16.90377034671552,9.125314884443685e-4,0.17141333678247184
MFHAS1,ENSG00000147324,1.573663244307014,7.727679002661563,15.69825220815067,0.0012367654592849986,0.22527870229582203
ACOD1,ENSG00000102794,1.4973569995486318,7.607736794909443,14.960313425040095,0.0014998333541362374,0.2557920397546759
PPARGC1B,ENSG00000155846,-3.651295435248552,5.073830994937359,14.671750491784442,0.0015141555038354572,0.2557920397546759
H4C12,ENSG00000273542,-3.874766743855215,4.467933898219186,14.286505301081183,0.0015319436751236619,0.2557920397546759
IL1A,ENSG00000115008,5.976539214875473,4.3623221122324205,14.961994720385073,0.001617265163300647,0.25670881822104386
UBASH3B,ENSG00000154127,2.613520507713628,5.438806876407501,14.578828598096996,0.001656572627526843,0.25670881822104386
H4C11,ENSG00000197238,-3.9230257979332013,4.4444128461782615,13.972971173512214,0.0016676956607429249,0.25670881822104386
COPS5,ENSG00000121022,-5.539433776496603,4.328275130760796,14.576541746927912,0.0017082603109036358,0.25670881822104386
TAF7,ENSG00000178913,-3.028101582262999,5.403531532010629,14.172740777520119,0.0018355382487280816,0.2691078149537683
RASSF5,ENSG00000266094,1.8053098037356947,6.703310146069336,13.892538358746801,0.002002603549929503,0.28661071282443434
TNFSF15,ENSG00000181634,3.582625944470136,4.603521255418651,13.305161355948652,0.002100229177164771,0.29359250195203346
LRPPRC,ENSG00000138095,-2.1167059695744315,5.874607000157204,13.49596118637414,0.002240976575575144,0.29496061123347844
FOXP1,ENSG00000114861,1.2932378850682673,8.133157520568501,13.463663880470053,0.0022543438291727723,0.29496061123347844
JAG1,ENSG00000101384,2.7602753952637995,5.492573370191702,13.446676537331307,0.002257226437654302,0.29496061123347844
C1orf21,ENSG00000116667,1.4755206724393393,7.060064286165518,13.170519519579633,0.002449045216564679,0.31321725099511244
ELL,ENSG00000105656,2.209150523601709,5.659189835925657,12.930409765250145,0.0026295299951110502,0.3292938500127609
ADRB1,ENSG00000043591,-6.3574668248101425,4.117776221914114,13.093827047671608,0.002750560662664965,0.337420819250594
DNAAF1,ENSG00000154099,3.0263481720199845,5.180447733309463,12.353180905683926,0.0030376006560792123,0.36518035087384293
RND1,ENSG00000172602,1.8614907382923829,6.137268692239824,12.354590638221785,0.003102758498613781,0.3656996340228909
GGT1,ENSG00000100031,2.5578934119122363,5.300560295420259,11.917729086421595,0.003512057809735414,0.405980374890761
TP53INP2,ENSG00000078804,1.2066648885667772,10.013390647567245,11.86390878711273,0.0035807972380369852,0.40611645656302486
R3HDM4,ENSG00000198858,4.0047678136986224,4.491910602732981,11.30181319542092,0.003748058404280284,0.4105489554656795
SOCS2,ENSG00000120833,2.0109731150869226,5.739350082540636,11.598483783392911,0.003888763261635423,0.4105489554656795
CASP5,ENSG00000137757,2.043153451043467,6.373021427293632,11.587572918438541,0.0038965849262538,0.4105489554656795
KCNK13,ENSG00000152315,2.4664688710626526,5.179815510196766,11.38644651067516,0.004118343823602123,0.4105489554656795
ICAM1,ENSG00000090339,1.1361524660321722,10.288025020682763,11.399212570663634,0.004119875097749911,0.4105489554656795
MIS18BP1,ENSG00000129534,-2.425907093185905,5.584899566624132,11.370732810346805,0.004165610306465919,0.4105489554656795
PRDM1,ENSG00000057657,1.1153736385457915,9.30970171820071,11.356027366360781,0.0041745506944272205,0.4105489554656795
CTSC,ENSG00000109861,-1.1865287338798685,8.229471249783616,11.305720669788949,0.0042393565564272295,0.4105489554656795
