Gene,ENSG,logFC,logCPM,F,PValue,FDR
PCNX3,ENSG00000197136,0.15590539056755046,6.881925406506834,1.098646856401994,0.3155271250141319,0.6262681644241168
IDH1,ENSG00000138413,-0.144630143385617,6.449901368193333,1.0975945326382304,0.3157490708107191,0.6264850114455718
PPCS,ENSG00000127125,-0.159606856168104,4.505866616692241,1.0974464278999478,0.3157803265235598,0.6264850114455718
ANKS6,ENSG00000165138,-0.37267996371106527,-0.749117001845094,1.097223518303067,0.31582994271225556,0.6264850114455718
SMAD5,ENSG00000113658,0.16216747250166005,4.812040560924634,1.097103803014127,0.3158526473619027,0.6264850114455718
DMAC1,ENSG00000137038,0.19187343686484973,2.475305520898779,1.0970786272270252,0.3158580318815241,0.6264850114455718
TOMM20,ENSG00000173726,-0.18456721165022383,5.483368675929611,1.096253876611669,0.3160321511963533,0.6265183611758778
HNRNPDL,ENSG00000152795,0.14841735233694464,7.105343523582735,1.0961424160572253,0.316055702154425,0.6265183611758778
MCTS1,ENSG00000232119,-0.19602217246135842,3.941793723548641,1.095775893711733,0.31613316717670575,0.6265183611758778
DAP3,ENSG00000132676,0.14492713570070684,5.8822832517051165,1.0957712844564313,0.3161341391244509,0.6265183611758778
UNC5C,ENSG00000182168,0.23490796061597577,0.9922336261539798,1.0954933831922111,0.31619318816869385,0.6265183611758778
TAF11,ENSG00000064995,-0.17388445894268817,4.7327779040997076,1.0953461782192102,0.3162240179808895,0.6265183611758778
GPR89A,ENSG00000117262,-0.18488423118451805,3.017303761055652,1.0953269693315668,0.31622808840834343,0.6265183611758778
HINT2,ENSG00000137133,-0.2271522080557048,1.6978201836039342,1.095320932942955,0.31622951247293635,0.6265183611758778
NA,ENSG00000285245,0.176676872271341,4.911180902717614,1.0948340612914453,0.31633234058845733,0.6265754969882507
TMEM216,ENSG00000187049,-0.23661527908881008,1.59179283388342,1.0947654765548356,0.31634702597022135,0.6265754969882507
CHRNB1,ENSG00000170175,-0.2522050817931875,1.5016374723534534,1.0944395982951725,0.316415998270533,0.6266242835705118
CDC37L1,ENSG00000106993,0.17432175573515252,3.3782560498418692,1.093300539761941,0.31665703180571775,0.627013755566541
DCTN1,ENSG00000204843,0.1477011873663212,6.7255676265859154,1.0924009908293624,0.31684770529607187,0.6272594755846868
APPL2,ENSG00000136044,-0.1726173921812555,3.668572630213644,1.0922233113451887,0.3168853913146128,0.6272594755846868
OPHN1,ENSG00000079482,-0.20330580064285708,1.9770477482287705,1.0918193585996108,0.316971219047929,0.6272594755846868
FBXO42,ENSG00000037637,0.14228015001456815,5.7433002742690675,1.091657951683279,0.3170053322170767,0.6272594755846868
RAB18,ENSG00000099246,0.14198481396734497,6.791104318234361,1.0915502586155748,0.31702818711736014,0.6272594755846868
DCAKD,ENSG00000172992,-0.17802251710846215,3.422536954633254,1.0914595678353671,0.31704744085065223,0.6272594755846868
MRPL44,ENSG00000135900,-0.16755043577549605,4.554934911043537,1.0902937802935986,0.31729501675972316,0.6276089832225188
NAPRT,ENSG00000147813,-0.1991436514486187,3.0028396636298016,1.0902095683485884,0.31731291997770283,0.6276089832225188
OOEP,ENSG00000203907,-0.8377917360208637,-2.857718379198259,1.0896859598189432,0.3175050911021971,0.6277504812909871
GATA2,ENSG00000179348,-0.24827750315392091,1.0184723009428742,1.089232775108086,0.31752087632983816,0.6277504812909871
VDAC1,ENSG00000213585,0.1403014220322777,7.03581491965013,1.0890914787426955,0.31755063920184307,0.6277504812909871
STEAP3,ENSG00000115107,0.14806310755235855,7.096242932011488,1.0890374088345998,0.3175621420003727,0.6277504812909871
RARS1,ENSG00000113643,0.14975218575102492,5.244533363425849,1.0880165239412767,0.3177794364565618,0.6280786812341439
RAB28,ENSG00000157869,-0.19740620464349284,2.459083115026185,1.0878402066885975,0.31781705699868124,0.6280786812341439
ARFGAP2,ENSG00000149182,-0.16351191496413398,6.315294473130448,1.0871161827021407,0.31797124874136495,0.6282955379212766
KIAA1191,ENSG00000122203,0.1419647356131785,6.044474887365686,1.0866905927425927,0.3180619758245544,0.6283869484625476
MON1B,ENSG00000103111,0.1412978275022348,6.426310527666865,1.0862842650200015,0.3181486309762713,0.6284702897619046
NA,ENSG00000278817,-0.5750200789405996,-2.0663267390144737,1.0860095839297481,0.3182353900198037,0.6285457419193836
ABR,ENSG00000159842,0.1481949970519927,8.701228857888834,1.0856883445456877,0.31827578043978977,0.6285457419193836
NA,ENSG00000258728,-0.19127621464231304,2.5323649881873984,1.084841687424033,0.3184565968064316,0.6288149540405885
HBS1L,ENSG00000112339,0.14508217830586775,5.262330417484604,1.084216830402084,0.31859006373211235,0.628871794720493
GOLGA7B,ENSG00000155265,-0.2643460112923731,0.440743378132654,1.083640269253883,0.3187138618481548,0.628871794720493
MAML2,ENSG00000184384,0.15838245126112566,7.4231328179400595,1.083583575251119,0.31872544903940864,0.628871794720493
PSMC6,ENSG00000100519,-0.2111847484016636,5.055964357826964,1.0835832972398376,0.3187255090124403,0.628871794720493
UBXN4,ENSG00000144224,0.14195017935297144,7.375009382642307,1.083364338801093,0.3187723394627168,0.628871794720493
ACE,ENSG00000159640,-0.20453177118991142,2.968881479437647,1.0832972476984728,0.31878670070198967,0.628871794720493
ILVBL,ENSG00000105135,-0.3306237869567124,2.6079837788400027,1.083249804742342,0.3187968820674789,0.628871794720493
CUL2,ENSG00000108094,-0.170363661117704,5.361992103414563,1.0829720582986242,0.31885626556548696,0.6289011507287455
LMF1,ENSG00000103227,0.18811554114193804,2.9659678480395537,1.0819121666933627,0.3190831895847064,0.6292609036018798
F5,ENSG00000198734,-0.18132930178783765,5.413125956453919,1.0814834160409268,0.3191750378303821,0.6293542116114078
KLHL6,ENSG00000172578,0.138309966061794,6.764478157094225,1.081275094658871,0.3192196830247251,0.6293544308740814
ADPRH,ENSG00000144843,0.16701849183559953,4.644015064544363,1.0810050537182792,0.31927756982203126,0.6293807527862946
SPHK1,ENSG00000176170,-0.1983882787842259,6.873566132676265,1.080098886929567,0.31947192423359677,0.6296423423635088
NUP37,ENSG00000075188,-0.1920352001688737,2.335732415893942,1.0799712853044403,0.31949937992419486,0.6296423423635088
EPB41L2,ENSG00000079819,0.1498937752096368,6.52659579848639,1.0796771994234584,0.3195624257495702,0.6296787786799953
EGFL8,ENSG00000241404,-0.30770850178499887,0.3930313840442729,1.0793657476580132,0.3196298541315272,0.629723839200717
IFT70B,ENSG00000196659,-0.31894647764787937,0.336959514218301,1.0785547476995878,0.31980411664188274,0.6299793387765663
LIMCH1,ENSG00000064042,0.5046659929208895,-1.5325548365963204,1.0783322687651293,0.3198594644522712,0.6300005507511494
MICA,ENSG00000204520,0.14993789443571146,5.0318017338143495,1.0779743400145316,0.3199282625483792,0.6300482450297791
CD86,ENSG00000114013,0.15984473605077992,5.923314939720439,1.077460067571106,0.32003886434764284,0.630114491595986
RAD9B,ENSG00000151164,-0.30582074224913175,0.02977650881372512,1.0773226736109676,0.3200693258950319,0.630114491595986
STRADA,ENSG00000266173,-0.15384457187815978,5.536057581504575,1.0770966654403846,0.3201170526393458,0.630114491595986
PLBD1,ENSG00000121316,0.16788367571710408,4.27593232737251,1.0769888673854573,0.3201402525940546,0.630114491595986
NA,ENSG00000256206,0.16845883779037293,4.00482698541807,1.0757307504007492,0.3204111839931507,0.6305599292843902
TXLNA,ENSG00000084652,-0.13746582594055057,7.029467667827057,1.0747913346531897,0.32061369523256156,0.6308099445208797
RPS23,ENSG00000186468,0.17999778139355407,6.905746428212642,1.0744474376254183,0.3206878762363736,0.6308099445208797
